"lake","date","year","doy","PML","PML.g440","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass","manual_chl","cumulative.load","daily.load"
"R",2009-06-01,2009,152,0.05,1.1515,"Daphnia",459.1987915,0.642142236,2.095282483,0.17723005627381,6496.33400258219,36654.809794484,0.0768021808800792,3.42474,0,0
"L",2009-06-02,2009,153,0.041,0.94423,"Daphnia",222.9140625,0.836426973,4.300211939,0.1437983365,3153.58888280628,21930.6353575675,0.0943063799944672,2.66438,0,0
"R",2009-06-08,2009,159,0.062,1.42786,"Daphnia",401.1072083,0.694682956,2.595047372,0.17723005627381,5674.5062142876,32017.7419879664,0.0830875572032463,3.54075,0,0
"L",2009-06-09,2009,160,0.057,1.31271,"Daphnia",101.7791824,0.908097029,5.377808742,0.1437983365,1439.88088736103,10013.1957184431,0.05384905147,3.41466,0,0
"R",2009-06-15,2009,166,0.04,0.9212,"Daphnia",2276.217773,0.743754029,3.124448724,0.17723005627381,32201.8942334734,181695.446644352,0.567698106424554,2.9708,0,0
"L",2009-06-16,2009,167,0.029,0.66787,"Daphnia",84.77656555,0.700772226,2.657386571,0.1437983365,1199.34306361214,8340.45158521108,0.0221638040386156,2.75555,0,0
"R",2009-06-22,2009,173,0.053,1.22059,"Daphnia",2519.484619,0.993339062,6.864214681,0.17723005627381,35643.41610292,201113.83391908,1.38048853133954,4.05017,0,0
"L",2009-06-23,2009,174,0.052,1.19756,"Daphnia",197.5042267,0.704027236,2.691094521,0.1437983365,2794.1132409642,19430.7758279541,0.0522900543693864,2.09822,0,0
"R",2009-06-29,2009,180,0.052,1.19756,"Daphnia",1563.253662,0.813317299,3.984674461,0.17723005627381,22115.5153434495,124784.22570313,0.497224517294923,8.55877,0,0
"L",2009-06-30,2009,181,0.054,1.24362,"Daphnia",630.6712646,0.927326441,5.693225802,0.1437983365,8922.1732646317,62046.4289211837,0.353244330056042,3.01389,0,0
"R",2009-07-06,2009,187,0.058,1.33574,"Daphnia",2507.186768,0.94315964,5.961525221,0.17723005627381,35469.4371006038,200132.177613292,1.19309302437529,3.51049,0,0
"L",2009-07-07,2009,188,0.058,1.33574,"Daphnia",803.3943481,1.00818193,7.1467971,0.1437983365,11365.7050446405,79039.1969843164,0.564877103793841,2.14362,0,0
"R",2009-07-13,2009,194,0.049,1.12847,"Daphnia",3495.342529,1.171079159,10.74088893,0.17723005627381,49448.9814479712,279010.132297061,2.99681684134734,1.60261,0,0
"L",2009-07-14,2009,195,0.055,1.26665,"Daphnia",355.5466309,0.918320298,5.544083981,0.1437983365,5029.95589399152,34979.2356185673,0.193927819860523,2.9683,0,0
"R",2009-07-20,2009,201,0.056,1.28968,"Daphnia",1583.341187,0.948556066,6.054760862,0.17723005627381,22399.695689959,126387.680289132,0.765247180053602,1.60676,0,0
"L",2009-07-21,2009,202,0.06,1.3818,"Daphnia",77.59179688,0.794441283,3.7381242,0.1437983365,1097.69937927416,7633.60276614994,0.028535355233332,2.88001,0,0
"R",2009-07-27,2009,208,0.053,1.22059,"Daphnia",2632.050293,0.903484583,5.303835546,0.17723005627381,37235.8946308819,210099.208981544,1.1143316527828,3.27847,0,0
"L",2009-07-28,2009,209,0.059,1.35877,"Daphnia",122.9375763,0.982370317,6.660000315,0.1437983365,1739.21092976729,12094.7917208159,0.080551316670493,2.90245,0,0
"R",2009-08-03,2009,215,0.051,1.17453,"Daphnia",1728.482666,0.783885598,3.604565525,0.17723005627381,24453.0275860051,137973.36693403,0.49733404181858,5.09424,0,0
"L",2009-08-04,2009,216,0.054,1.24362,"Daphnia",172.6648407,0.959024727,6.238248774,0.1437983365,2442.70781294042,16987.0380450501,0.105969369258425,2.88001,0,0
"R",2009-08-10,2009,222,0.048,1.10544,"Daphnia",2862.078125,0.98433876,6.696361578,0.17723005627381,40490.1227652385,228460.81311786,1.52985621104107,2.17388,0,0
"L",2009-08-11,2009,223,0.054,1.24362,"Daphnia",714.8180542,1.197553396,11.41425871,0.1437983365,10112.6068210898,70324.9221599292,0.802706855294044,1.78807,0,0
"R",2009-08-17,2009,229,0.047,1.08241,"Daphnia",3943.966064,0.902114987,5.281994964,0.17723005627381,55795.7061753143,314820.78913925,1.66288182279602,2.52695,0,0
"L",2009-08-18,2009,230,0.055,1.26665,"Daphnia",480.5226746,1.097446442,9.001777837,0.1437983365,6798.00523825141,47274.5749618001,0.425555221144727,2.99602,0,0
"R",2009-08-24,2009,236,0.049,1.12847,"Daphnia",2381.462402,1.0115453,7.211834238,0.17723005627381,33690.8011614043,190096.430987722,1.37094394951886,7.68171,0,0
"L",2009-08-26,2009,238,0.057,1.31271,NA,NA,NA,NA,NA,NA,NA,NA,3.27343,0,0
"R",2010-05-17,2010,137,0.047,1.08241,"Daphnia",867.0561523,0.815171778,4.009435849,0.17723005627381,12266.3353401586,69211.3719199404,0.277498555734281,3.00233,0,0
"L",2010-05-18,2010,138,0.051,1.17453,"Daphnia",78.35237122,1.002450824,7.036832114,0.1437983365,1108.45930512304,7708.42926352654,0.0542429225900809,7.21307,0,0
"R",2010-05-24,2010,144,0.052,1.19756,"Daphnia",1449.780151,0.724634707,2.910781839,0.17723005627381,20510.1935491702,115726.38400274,0.336854256848317,1.59792,0,0
"L",2010-05-25,2010,145,0.061,1.40483,"Daphnia",41.97088242,0.956219554,6.188741568,0.1437983365,593.766524717487,4129.1612905236,0.0255543121196399,4.2368,0,0
"R",2010-05-31,2010,151,0.04,0.9212,"Daphnia",2574.797607,0.887902737,5.058706621,0.17723005627381,36425.934810243,205529.104803573,1.03971144327804,1.92673,0,0
"L",2010-06-01,2010,152,0.05,1.1515,"Daphnia",214.3190765,0.904896855,5.326416399,0.1437983365,3031.99470434356,21085.0471440854,0.112307740881945,4.06026,0,0
"R",2010-06-07,2010,158,0.026,0.59878,"Daphnia",3601.369873,0.87044102,4.792660318,0.17723005627381,50948.9615280161,287473.595614635,1.37776329417504,6.17973,0,0
"L",2010-06-08,2010,159,0.038,0.87514,"Daphnia",61.86637878,1.064826608,8.292475815,0.1437983365,875.230221691781,6086.51145065076,0.050472249002242,6.60234,0,0
"R",2010-06-14,2010,165,0.058,1.33574,"Daphnia",2918.338867,1.160000086,10.46674005,0.17723005627381,41286.0494489112,232951.736951022,2.43824527486232,12.51821,0,0
"L",2010-06-15,2010,166,0.062,1.42786,"Daphnia",101.7045212,0.80237782,3.840575163,0.1437983365,1438.82464744662,10005.8504323979,0.03842822065536,5.43218,0,0
"R",2010-06-21,2010,172,0.051,1.17453,"Daphnia",1067.54541,1.060241222,8.195705892,0.17723005627381,15102.6781312501,85215.1065613692,0.698397950932421,10.85844,0,0
"L",2010-06-22,2010,173,0.057,1.31271,"Daphnia",141.2120361,0.714044273,2.796520462,0.1437983365,1997.7416506121,13892.6617597701,0.038851112882842,4.01991,0,0
"R",2010-06-28,2010,179,0.055,1.26665,"Daphnia",201.8850861,1.14913702,10.20227344,0.17723005627381,2856.08972349759,16115.1544131155,0.164411211850427,7.91887,0,0
"L",2010-06-29,2010,180,0.064,1.47392,"Daphnia",546.7056885,0.833319008,4.256888985,0.1437983365,7734.30335477626,53785.7637510032,0.228960025261458,2.57234,0,0
"R",2010-07-05,2010,186,0.059,1.35877,"Daphnia",86.02386475,1.086609721,8.762050949,0.17723005627381,1216.98873767388,6866.71754927227,0.0601665290191161,4.50916,0,0
"L",2010-07-06,2010,187,0.062,1.42786,"Daphnia",118.1311111,0.7170524,2.828681507,0.1437983365,1671.2133568447,11621.9241301494,0.0328747218627108,1.93178,0,0
"R",2010-07-12,2010,193,0.056,1.28968,"Daphnia",84.49538422,1.025305986,7.481817685,0.17723005627381,1195.36516151662,6744.70903326832,0.0504626833252862,3.50544,0,0
"L",2010-07-13,2010,194,0.059,1.35877,"Daphnia",276.2313538,1.222759843,12.07962899,0.1437983365,3907.87425726544,27176.0741631767,0.328276893295899,1.58706,0,0
"R",2010-07-19,2010,200,0.064,1.47392,"Daphnia",112.1436234,0.769907534,3.432405026,0.17723005627381,1586.50773336408,8951.68554769867,0.0307258104650925,3.803028496,0,0
"L",2010-07-20,2010,201,0.064,1.47392,"Daphnia",180.8491821,1.19339788,11.30684744,0.1437983365,2558.49255869701,17792.226398231,0.201173989502739,4.19645,0,0
"R",2010-07-26,2010,207,0.062,1.42786,"Daphnia",842.7949829,0.818514287,4.054311,0.17723005627381,11923.1100036964,67274.7628386233,0.272752810999022,2.83462,0,0
"L",2010-07-27,2010,208,0.064,1.47392,"Daphnia",240.866333,1.240516186,12.5627363,0.1437983365,3407.56155745498,23696.8079074752,0.297696748893366,2.88506,0,0
"R",2010-08-02,2010,214,0.068,1.56604,"Daphnia",752.8153076,0.952493191,6.123361971,0.17723005627381,10650.1579946476,60092.2790330427,0.367966776181654,6.75365,0,0
"L",2010-08-03,2010,215,0.065,1.49695,"Daphnia",201.9139709,1.108917594,9.260014044,0.1437983365,2856.4983598265,19864.613383942,0.183946598913933,3.52562,0,0
"R",2010-08-09,2010,221,0.065,1.49695,"Daphnia",445.3778076,0.882924557,4.981932066,0.17723005627381,6300.80707759743,35551.5718387127,0.177115515739985,2.92541,0,0
"L",2010-08-10,2010,222,0.056,1.28968,"Daphnia",45.75142288,1.402956963,17.55683585,0.1437983365,647.250231541301,4501.09679496397,0.0790250175741436,2.84471,0,0
"R",2010-08-16,2010,228,0.081,1.86543,"Daphnia",1643.820801,1.169310093,10.6968129,0.17723005627381,23255.3072032381,131215.368838512,1.40358625007005,4.36793,0,0
"L",2010-08-17,2010,229,0.061,1.40483,"Daphnia",288.6956482,1.180050135,10.96616732,0.1437983365,4084.20795201323,28402.3310103676,0.311464714137716,4.36289,0,0
"R",2010-08-23,2010,235,0.08,1.8424,"Daphnia",1269.327148,1.027141094,7.518297479,0.17723005627381,17957.3057782167,101322.011377538,0.761769022706956,3.16751,0,0
"L",2010-08-24,2010,236,0.062,1.42786,"Daphnia",112.4703522,1.058006644,8.148807427,0.1437983365,1591.13000034813,11065.0097843665,0.0901666339106734,4.60499,0,0
"R",2011-05-16,2011,136,0.072,1.65816,NA,NA,NA,NA,NA,NA,NA,NA,7.65637,0,0
"R",2011-05-16,2011,136,0.072,1.65816,NA,NA,NA,NA,NA,NA,NA,NA,7.65637,0,0
"L",2011-05-17,2011,137,0.041,0.94423,"Daphnia",8.151344299,1.304057956,14.39107276,0.1437983365,115.317932269315,801.942046591858,0.0115408063418067,2.88056,0,0
"L",2011-05-17,2011,137,0.041,0.94423,"Daphnia",8.151344299,1.304057956,14.39107276,0.1437983365,115.317932269315,801.942046591858,0.0115408063418067,2.88056,0,0
"R",2011-05-23,2011,143,0.053,1.22059,"Daphnia",228.5094299,0.577626824,1.57096468,0.17723005627381,3232.74713881742,18240.4001148824,0.0286550243295483,7.06466,0,0
"R",2011-05-23,2011,143,0.053,1.22059,"Daphnia",228.5094299,0.577626824,1.57096468,0.17723005627381,3232.74713881742,18240.4001148824,0.0286550243295483,7.06466,0,0
"L",2011-05-24,2011,144,0.036,0.82908,"Daphnia",36.66296387,0.770572484,3.440474403,0.1437983365,518.674838072006,3606.95993219647,0.0124096533193686,3.80813,0,0
"L",2011-05-24,2011,144,0.036,0.82908,"Daphnia",36.66296387,0.770572484,3.440474403,0.1437983365,518.674838072006,3606.95993219647,0.0124096533193686,3.80813,0,0
"R",2011-05-30,2011,150,0.071,1.63513,"Daphnia",409.2647095,0.78574276,3.627841254,0.17723005627381,5789.91124888832,32668.9014866827,0.118517588536249,8.75014,0,0
"R",2011-05-30,2011,150,0.071,1.63513,"Daphnia",409.2647095,0.78574276,3.627841254,0.17723005627381,5789.91124888832,32668.9014866827,0.118517588536249,8.75014,0,0
"L",2011-05-31,2011,151,0.047,1.08241,"Daphnia",39.32824326,0.798214257,3.786610255,0.1437983365,556.380828262179,3869.17430204194,0.0146510550904945,2.18701,0,0
"L",2011-05-31,2011,151,0.047,1.08241,"Daphnia",39.32824326,0.798214257,3.786610255,0.1437983365,556.380828262179,3869.17430204194,0.0146510550904945,2.18701,0,0
"R",2011-06-06,2011,157,0.074,1.70422,"Daphnia",454.2399902,0.785242498,3.62156217,0.17723005627381,6426.18131469725,36258.9814041993,0.131314155376182,2.55719,0,0
"R",2011-06-06,2011,157,0.074,1.70422,"Daphnia",454.2399902,0.785242498,3.62156217,0.17723005627381,6426.18131469725,36258.9814041993,0.131314155376182,2.55719,0,0
"L",2011-06-07,2011,158,0.055,1.26665,"Daphnia",68.87751007,0.721231878,2.873752657,0.1437983365,974.417439600204,6776.277551724,0.0194733456188363,2.19552,0,0
"L",2011-06-07,2011,158,0.055,1.26665,"Daphnia",68.87751007,0.721231878,2.873752657,0.1437983365,974.417439600204,6776.277551724,0.0194733456188363,2.19552,0,0
"R",2011-06-13,2011,164,0.072,1.65816,"Daphnia",739.9806519,0.926268101,5.675569752,0.17723005627381,10468.5847593109,59067.7731498185,0.335243266607107,1.90194,0,0
"R",2011-06-13,2011,164,0.072,1.65816,"Daphnia",739.9806519,0.926268101,5.675569752,0.17723005627381,10468.5847593109,59067.7731498185,0.335243266607107,1.90194,0,0
"L",2011-06-14,2011,165,0.052,1.19756,"Daphnia",99.63790131,1.311253667,14.60809171,0.1437983365,1409.58795669235,9802.53312382616,0.143196302863165,1.37951,0,0
"L",2011-06-14,2011,165,0.052,1.19756,"Daphnia",99.63790131,1.311253667,14.60809171,0.1437983365,1409.58795669235,9802.53312382616,0.143196302863165,1.37951,0,0
"R",2011-06-20,2011,171,0.074,1.70422,"Daphnia",483.2159729,0.694057941,2.588701645,0.17723005627381,6836.10761493283,38571.9429235607,0.0998512520970677,3.28478,0,0
"R",2011-06-20,2011,171,0.074,1.70422,"Daphnia",483.2159729,0.694057941,2.588701645,0.17723005627381,6836.10761493283,38571.9429235607,0.0998512520970677,3.28478,0,0
"L",2011-06-22,2011,173,0.038,0.87514,"Daphnia",365.7683411,1.170304298,10.72156929,0.1437983365,5174.56351223,35984.8635121728,0.385814207536953,2.23807,0,0
"L",2011-06-22,2011,173,0.038,0.87514,"Daphnia",365.7683411,1.170304298,10.72156929,0.1437983365,5174.56351223,35984.8635121728,0.385814207536953,2.23807,0,0
"R",2011-06-27,2011,178,0.071,1.63513,"Daphnia",645.0861816,0.954079688,6.151143623,0.17723005627381,9126.10262417032,51492.9736865346,0.316740676721234,2.88907,0,0
"R",2011-06-27,2011,178,0.071,1.63513,"Daphnia",645.0861816,0.954079688,6.151143623,0.17723005627381,9126.10262417032,51492.9736865346,0.316740676721234,2.88907,0,0
"L",2011-06-28,2011,179,0.052,1.19756,"Daphnia",194.4610443,1.564101458,23.59859813,0.1437983365,2751.06101681396,19131.3827668233,0.451473813585471,3.14862,0,0
"L",2011-06-28,2011,179,0.052,1.19756,"Daphnia",194.4610443,1.564101458,23.59859813,0.1437983365,2751.06101681396,19131.3827668233,0.451473813585471,3.14862,0,0
"R",2011-07-04,2011,185,0.069,1.58907,"Daphnia",726.7201538,0.932811618,5.785290274,0.17723005627381,10280.9870863798,58009.2750774523,0.335600494907376,4.41232,0,0
"R",2011-07-04,2011,185,0.069,1.58907,"Daphnia",726.7201538,0.932811618,5.785290274,0.17723005627381,10280.9870863798,58009.2750774523,0.335600494907376,4.41232,0,0
"L",2011-07-05,2011,186,0.046,1.05938,"Daphnia",117.0516968,0.910637677,5.41883207,0.1437983365,1655.94276826789,11515.7296570527,0.0624018051750872,1.97001,0,0
"L",2011-07-05,2011,186,0.046,1.05938,"Daphnia",117.0516968,0.910637677,5.41883207,0.1437983365,1655.94276826789,11515.7296570527,0.0624018051750872,1.97001,0,0
"R",2011-07-11,2011,192,0.08,1.8424,"Daphnia",864.7924805,0.800659418,3.818244028,0.17723005627381,12234.3109351357,69030.677935544,0.263575973776182,2.02107,0,0
"R",2011-07-11,2011,192,0.08,1.8424,"Daphnia",864.7924805,0.800659418,3.818244028,0.17723005627381,12234.3109351357,69030.677935544,0.263575973776182,2.02107,0,0
"L",2011-07-12,2011,193,0.056,1.28968,"Daphnia",730.9296875,1.050724626,7.997153969,0.1437983365,10340.5398060657,71910.0099330128,0.575075421346623,2.43805,0,0
"L",2011-07-12,2011,193,0.056,1.28968,"Daphnia",730.9296875,1.050724626,7.997153969,0.1437983365,10340.5398060657,71910.0099330128,0.575075421346623,2.43805,0,0
"R",2011-07-18,2011,199,0.069,1.58907,"Daphnia",1108.314941,0.930391312,5.744552165,0.17723005627381,15679.4490100224,88469.4692292974,0.508217480997561,2.655051449,0,0
"R",2011-07-18,2011,199,0.069,1.58907,"Daphnia",1108.314941,0.930391312,5.744552165,0.17723005627381,15679.4490100224,88469.4692292974,0.508217480997561,2.655051449,0,0
"L",2011-07-19,2011,200,0.058,1.33574,"Daphnia",158.9666443,1.057188392,8.131676808,0.1437983365,2248.9179757401,15639.3879823505,0.127174448547394,2.06362,0,0
"L",2011-07-19,2011,200,0.058,1.33574,"Daphnia",158.9666443,1.057188392,8.131676808,0.1437983365,2248.9179757401,15639.3879823505,0.127174448547394,2.06362,0,0
"R",2011-07-25,2011,206,0.07,1.6121,"Daphnia",475.2288818,0.988029003,6.764865804,0.17723005627381,6723.11339008925,37934.3861387848,0.256621031585997,2.69335,0,0
"R",2011-07-25,2011,206,0.07,1.6121,"Daphnia",475.2288818,0.988029003,6.764865804,0.17723005627381,6723.11339008925,37934.3861387848,0.256621031585997,2.69335,0,0
"L",2011-07-26,2011,207,0.061,1.40483,"Daphnia",149.6640167,1.025376797,7.483223231,0.1437983365,2117.31271651493,14724.180877537,0.110184332400231,2.09341,0,0
"L",2011-07-26,2011,207,0.061,1.40483,"Daphnia",149.6640167,1.025376797,7.483223231,0.1437983365,2117.31271651493,14724.180877537,0.110184332400231,2.09341,0,0
"R",2011-08-01,2011,213,0.067,1.54301,"Daphnia",138.0033875,0.863123178,4.683856489,0.17723005627381,1952.34855858234,11015.8998966071,0.0515968942128978,3.81664,0,0
"R",2011-08-01,2011,213,0.067,1.54301,"Daphnia",138.0033875,0.863123178,4.683856489,0.17723005627381,1952.34855858234,11015.8998966071,0.0515968942128978,3.81664,0,0
"L",2011-08-03,2011,215,0.061,1.40483,"Daphnia",98.48780823,0.932355046,5.777591419,0.1437983365,1393.31746791921,9689.38516141467,0.0559813085639753,2.83376,0,0
"L",2011-08-03,2011,215,0.061,1.40483,"Daphnia",98.48780823,0.932355046,5.777591419,0.1437983365,1393.31746791921,9689.38516141467,0.0559813085639753,2.83376,0,0
"R",2011-08-09,2011,221,0.064,1.47392,"Daphnia",456.4750977,1.159717441,10.45980462,0.17723005627381,6457.80161753874,36437.39528899,0.381128035584544,5.83345,0,0
"R",2011-08-09,2011,221,0.064,1.47392,"Daphnia",456.4750977,1.159717441,10.45980462,0.17723005627381,6457.80161753874,36437.39528899,0.381128035584544,5.83345,0,0
"L",2011-08-10,2011,222,0.061,1.40483,"Daphnia",251.1567383,0.896898568,5.19933115,0.1437983365,3553.14101255845,24709.1941328435,0.12847128274629,4.00385,0,0
"L",2011-08-10,2011,222,0.061,1.40483,"Daphnia",251.1567383,0.896898568,5.19933115,0.1437983365,3553.14101255845,24709.1941328435,0.12847128274629,4.00385,0,0
"R",2011-08-15,2011,227,0.061,1.40483,"Daphnia",74.16412354,1.127123237,9.679386616,0.17723005627381,1049.20772101947,5920.03265743202,0.0573022848706304,6.11434,0,0
"R",2011-08-15,2011,227,0.061,1.40483,"Daphnia",74.16412354,1.127123237,9.679386616,0.17723005627381,1049.20772101947,5920.03265743202,0.0573022848706304,6.11434,0,0
"L",2011-08-16,2011,228,0.058,1.33574,"Daphnia",170.9387817,1.094434738,8.934742999,0.1437983365,2418.28907321435,16817.2256513854,0.150257589151319,3.34434,0,0
"L",2011-08-16,2011,228,0.058,1.33574,"Daphnia",170.9387817,1.094434738,8.934742999,0.1437983365,2418.28907321435,16817.2256513854,0.150257589151319,3.34434,0,0
"R",2011-08-22,2011,234,0.06,1.3818,"Daphnia",402.9088135,0.742521763,3.110388295,0.17723005627381,5699.99371411694,32161.5522443372,0.100034915649817,4.36977,0,0
"R",2011-08-22,2011,234,0.06,1.3818,"Daphnia",402.9088135,0.742521763,3.110388295,0.17723005627381,5699.99371411694,32161.5522443372,0.100034915649817,4.36977,0,0
"L",2011-08-23,2011,235,0.057,1.31271,"Daphnia",151.1645966,1.11634779,9.429752757,0.1437983365,2138.54157950065,14871.8102834288,0.140237494021743,5.46753,0,0
"L",2011-08-23,2011,235,0.057,1.31271,"Daphnia",151.1645966,1.11634779,9.429752757,0.1437983365,2138.54157950065,14871.8102834288,0.140237494021743,5.46753,0,0
"R",2011-08-29,2011,241,0.058,1.33574,"Daphnia",906.072998,1.11297822,9.352535183,0.17723005627381,12818.3107941149,72325.829284348,0.676429863021516,2.47635,0,0
"R",2011-08-29,2011,241,0.058,1.33574,"Daphnia",906.072998,1.11297822,9.352535183,0.17723005627381,12818.3107941149,72325.829284348,0.676429863021516,2.47635,0,0
"L",2011-08-30,2011,242,0.061,1.40483,"Daphnia",55.18643951,1.033101439,7.637557439,0.1437983365,780.728412414078,5429.32854034843,0.0414668085821132,2.88907,0,0
"L",2011-08-30,2011,242,0.061,1.40483,"Daphnia",55.18643951,1.033101439,7.637557439,0.1437983365,780.728412414078,5429.32854034843,0.0414668085821132,2.88907,0,0
"R",2012-05-21,2012,142,0.045,1.03635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",2012-05-22,2012,143,0.036,0.82908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T",2012-05-23,2012,144,0.155,3.56965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2012-05-28,2012,149,0.045,1.03635,"Daphnia",3.376075029,0.876355767,4.881760191,0.17723005627381,47.7616914768412,269.48979468275,0.00131558455156301,NA,NA,NA
